run_name,agent,model,task,trial,backend,prompt_tokens,completion_tokens,cached_tokens,predicted_n,predicted_ms,prompt_n,prompt_ms,gen_tok_s,prompt_tok_s,finish_reason,dur_ms,content_len
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,code-from-image,code-from-image__98USAhP,local,7787,31,,31,1261.397,31,136.328,24.575926532249564,227.39275864092482,stop,,104
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,code-from-image,code-from-image__98USAhP,local,7911,38,,38,1546.631,31,137.956,24.569532099123837,224.70932761170232,stop,,149
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,headless-terminal,headless-terminal__Xi6vniT,local,17613,645,,645,23351.191,317,1264.393,27.62171745329821,250.71318806731765,stop,,2834
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,headless-terminal,headless-terminal__Xi6vniT,local,17261,36,,36,1272.673,417,2321.034,28.286920520825063,179.66130612477025,stop,,133
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,headless-terminal,headless-terminal__Xi6vniT,local,7868,39,,39,1086.132,31,105.599,35.90723779430124,293.56338601691306,stop,,122
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,headless-terminal,headless-terminal__Xi6vniT,local,29199,686,,686,30365.833,317,1920.567,22.59118002789517,165.0554237368444,stop,,2993
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,headless-terminal,headless-terminal__Xi6vniT,local,12541,451,,451,14712.186,265,880.928,30.6548598556326,300.8191361836609,stop,,1992
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,headless-terminal,headless-terminal__Xi6vniT,local,11543,389,,389,12370.737,244,700.669,31.445175820971702,348.23861195514576,stop,,1730
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,headless-terminal,headless-terminal__Xi6vniT,local,13683,517,,517,17267.917,306,965.199,29.93991689906779,317.03306779223766,stop,,2264
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,headless-terminal,headless-terminal__Xi6vniT,local,30756,36,,36,1594.702,872,5696.84,22.574750643066853,153.06731451120268,stop,,133
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,headless-terminal,headless-terminal__Xi6vniT,local,14927,564,,564,19410.815,317,1152.193,29.055966995718627,275.12751769885773,stop,,2471
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,headless-terminal,headless-terminal__Xi6vniT,local,20232,36,,36,1310.404,500,3435.95,27.472443612809485,145.52016181841995,stop,,133
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,headless-terminal,headless-terminal__Xi6vniT,local,23844,686,,686,27799.964,317,1654.107,24.676290947714897,191.64419230436727,stop,,2993
