model,agent,n_valid,truncation_rate,doom_loop_rate,malformed_rate,false_completion_rate,reasoning_burn_rate
Qwen3-Coder-30B-A3B-Instruct,openhands,124,0.04,0.056,0.226,0.032,0.008
Qwen3.5-35B-A3B,qwen-coder,88,0.0,0.182,0.011,0.0,0.0
gpt-oss-120b,terminus-2,63,0.0,0.254,0.063,0.032,0.0
Nemotron-3-Nano-30B-A3B,terminus-2,47,0.0,0.319,0.191,0.064,0.191
GLM-4.7-Flash,terminus-2,41,0.0,0.341,0.098,0.049,0.024
Qwen3-Coder-Next,openhands,39,0.026,0.231,0.026,0.051,0.0
Qwen3-Coder-Next-FP8,terminus-2,26,0.077,0.385,0.0,0.0,0.077
minimax-m2p1,terminus-2,26,0.0,0.154,0.154,0.0,0.0
GLM-4.7,openhands,26,0.0,0.308,0.038,0.115,0.0
Mistral-Small-Instruct-2409,terminus-2,24,0.0,0.25,0.208,0.0,0.0
Llama-3.1-8B-Instruct,terminus-2,20,0.0,0.2,0.3,0.0,0.0
phi-4,openhands,16,0.0,0.375,0.062,0.0,0.0
gemma-3-12b-it,terminus-2,13,0.0,0.0,0.0,0.0,0.0
gpt-oss-20b,terminus-2,8,0.0,0.25,0.125,0.0,0.0
