run_name,agent,model,backend,n_trials,n_graded,n_pass,pass_rate,median_gen_tok_s,total_calls,total_completion_tokens,n_truncated
test-claude-code-v2,claude-code,claude-sonnet-4-20250514,local,1,1,0,0.0,,0,0,0
test-claude-code-v4,claude-code,claude-sonnet-4-20250514,local,1,1,0,0.0,,0,0,0
test-claude-code-v3,claude-code,claude-sonnet-4-20250514,local,1,1,0,0.0,,0,0,0
test-claude-code,claude-code,claude-sonnet-4-20250514,local,2,1,0,0.0,,0,0,0
test-mini-swe,mini-swe-agent,Qwen3-Coder-30B-A3B-Instruct,local,1,1,0,0.0,,0,0,0
mini-swe-agent-qwen3-coder-30b-a3b-instruct-gguf-local,mini-swe-agent,Qwen3-Coder-30B-A3B-Instruct,local,37,34,0,0.0,,0,0,0
mini-swe-agent-qwen3.5-35b-a3b-gguf-local,mini-swe-agent,Qwen3.5-35B-A3B,local,37,34,0,0.0,,0,0,0
openhands-glm47-together-v2,openhands,GLM-4.7,hosted,13,13,4,0.3077,,814,289995,7
openhands-glm47-flash-local-v2,openhands,GLM-4.7-Flash,local,13,12,1,0.0833,43.65,300,56416,0
openhands-glm-4.7-flash-gguf-local,openhands,GLM-4.7-Flash,local,17,1,0,0.0,1.25,2,167,0
openhands-llama31-8b-instruct,openhands,Llama-3.1-8B-Instruct,local,13,12,0,0.0,29.9,510,44440,0
openhands-mistral-small-2409,openhands,Mistral-Small-Instruct-2409,local,13,12,0,0.0,12.26,20,4014,0
openhands-nemotron-3-nano-30b-a3b-gguf-64gb,openhands,Nemotron-3-Nano-30B-A3B,local,21,19,0,0.0,64.46,119,134016,3
openhands-qwen-30b-local,openhands,Qwen3-Coder-30B-A3B-Instruct,local,13,13,3,0.2308,44.68,533,99606,0
openhands-qwen3-coder-30b-a3b-instruct-gguf-local,openhands,Qwen3-Coder-30B-A3B-Instruct,local,38,35,13,0.3714,51.54,894,216564,13
openhands-qwen3-coder-next-gguf-64gb,openhands,Qwen3-Coder-Next,local,17,15,7,0.4667,48.29,329,75147,1
openhands-qwen-next-together-v2,openhands,Qwen3-Coder-Next-FP8,hosted,13,13,0,0.0,,810,490136,23
openhands-qwen3.5-35b-a3b-gguf-local,openhands,Qwen3.5-35B-A3B,local,33,30,16,0.5333,53.17,584,168887,0
openhands-gemma3-12b-it,openhands,gemma-3-12b-it,local,13,12,0,0.0,,0,0,0
openhands-gpt-oss-120b-gguf-64gb,openhands,gpt-oss-120b,local,36,34,3,0.0882,47.89,92,27165,0
openhands-m2.1-fireworks-v2,openhands,minimax-m2p1,hosted,13,13,0,0.0,,0,0,0
openhands-phi4-14b,openhands,phi-4,local,13,12,1,0.0833,14.97,194,39269,0
qwen-coder-qwen3-coder-30b-a3b-instruct-gguf-local,qwen-coder,Qwen3-Coder-30B-A3B-Instruct,local,37,34,9,0.2647,,0,0,0
qwen-coder-qwen3.5-35b-a3b-gguf-local,qwen-coder,Qwen3.5-35B-A3B,local,36,33,14,0.4242,,0,0,0
swe-agent-glm-4.7-flash-gguf-local,swe-agent,GLM-4.7-Flash,local,24,23,0,0.0,,0,0,0
swe-agent-qwen3-coder-30b-a3b-instruct-gguf-local,swe-agent,Qwen3-Coder-30B-A3B-Instruct,local,37,34,0,0.0,,0,0,0
swe-agent-qwen3.5-35b-a3b-gguf-local,swe-agent,Qwen3.5-35B-A3B,local,37,34,0,0.0,,0,0,0
terminus-2-glm47-together,terminus-2,GLM-4.7,hosted,13,13,10,0.7692,,407,198527,0
terminus-2-glm-4.7-flash-gguf-local,terminus-2,GLM-4.7-Flash,local,22,19,9,0.4737,51.27,240,125287,0
terminus-2-glm47-flash-local-v2,terminus-2,GLM-4.7-Flash,local,13,11,3,0.2727,42.69,387,152597,0
terminus-2-llama31-8b-instruct,terminus-2,Llama-3.1-8B-Instruct,local,13,8,0,0.0,28.06,418,145834,0
terminus-2-mistral-small-2409,terminus-2,Mistral-Small-Instruct-2409,local,13,12,0,0.0,12.31,295,98852,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-64gb,terminus-2,Nemotron-3-Nano-30B-A3B,local,25,23,7,0.3043,63.92,235,295100,0
terminus-2-nemotron-3-nano-30b-a3b-gguf-local,terminus-2,Nemotron-3-Nano-30B-A3B,local,8,8,1,0.125,64.76,123,112140,0
terminus-2-qwen3-coder-30b-a3b-instruct-gguf-local,terminus-2,Qwen3-Coder-30B-A3B-Instruct,local,36,31,9,0.2903,66.03,1048,233090,3
terminus-2-qwen-30b-local,terminus-2,Qwen3-Coder-30B-A3B-Instruct,local,13,11,4,0.3636,68.28,431,81988,0
terminus-2-qwen3-coder-next-gguf-64gb,terminus-2,Qwen3-Coder-Next,local,34,25,21,0.84,48.01,625,227117,2
terminus-2-qwen-next-together,terminus-2,Qwen3-Coder-Next-FP8,hosted,13,13,8,0.6154,,926,277533,0
terminus-2-qwen3.5-35b-a3b-gguf-local,terminus-2,Qwen3.5-35B-A3B,local,32,25,21,0.84,55.6,413,252534,3
terminus-2-gemma3-12b-it,terminus-2,gemma-3-12b-it,local,13,1,0,0.0,18.26,51,8047,0
terminus-2-gpt-oss-120b-gguf-64gb,terminus-2,gpt-oss-120b,local,32,29,16,0.5517,49.77,135,132661,0
terminus-2-gpt-oss-20b-gguf-local,terminus-2,gpt-oss-20b,local,12,8,0,0.0,71.68,23,32203,0
terminus-2-m2.1-fireworks,terminus-2,minimax-m2p1,hosted,13,13,10,0.7692,,577,236295,0
terminus-2-phi4-14b,terminus-2,phi-4,local,13,6,1,0.1667,17.56,175,84078,0
