New Terminal Output:

root@2d4a7de90ddc:/app/povray-2.2# ls -la
total 788
drwxr-xr-x 2 root root  4096 Apr  2 04:22 .
drwxr-xr-x 1 root root  4096 Apr  2 04:19 ..
-rw------- 1  238  103 30675 Nov  9  1993 bezier.c
-rw------- 1  238  103 18023 Aug 11  1993 blob.c
-rw------- 1  238  103 19186 Nov  3  1993 bound.c
-rw------- 1  238  103 10104 Oct 14  1993 boxes.c
-rw------- 1  238  103  2704 Jul 28  1993 camera.c
-rw------- 1  238  103  4414 Jul 28  1993 colour.c
-rw------- 1  238  103 10727 Jul 28  1993 cones.c
-rw------- 1 root root  6125 Apr  2 04:22 config.h
-rw------- 1  238  103  9803 Oct 28  1993 csg.c
-rw------- 1  238  103  5605 Jul 28  1993 discs.c
-rw------- 1  238  103  8822 Jul 28  1993 dump.c
-rw------- 1  238  103 12570 Jul  8  1993 express.c
-rw------- 1  238  103 26850 Feb  3  1994 frame.h
-rw------- 1  238  103  6567 Jul 28  1993 gif.c
-rw------- 1  238  103 15210 Aug  6  1993 gifdecod.c
-rw------- 1  238  103 46298 Jan 29  1994 hfield.c
-rw------- 1  238  103 10040 Sep 12  1993 iff.c
-rw------- 1  238  103 20938 Jul 28  1993 image.c
-rw------- 1  238  103 37389 Jan  5  1994 lighting.c
-rw------- 1  238  103 13246 Jul 28  1993 matrices.c
-rw------- 1  238  103  7625 Jul 28  1993 normal.c
-rw------- 1  238  103  7928 Oct 28  1993 objects.c
-rw------- 1  238  103 85433 Nov  9  1993 parse.c
-rw------- 1  238  103  9556 Sep 20  1993 parse.h
-rw------- 1  238  103 19594 Sep 20  1993 pigment.c
-rw------- 1  238  103  5466 Jul 29  1993 planes.c
-rw------- 1  238  103  7793 Jul 29  1993 point.c
-rw------- 1  238  103 18787 Jul 29  1993 poly.c
-rw------- 1  238  103 29790 Oct 12  1993 povproto.h
-rw------- 1  238  103 31555 Feb  3  1994 povray.c
-rw------- 1  238  103  9944 Jul 29  1993 quadrics.c
-rw------- 1  238  103  9865 Jul 29  1993 raw.c
-rw------- 1  238  103  3111 Jul 29  1993 ray.c
-rw------- 1  238  103 15160 Jan  5  1994 render.c
-rw------- 1  238  103  2495 Feb  1  1993 source.cat
-rw------- 1  238  103 11207 Jul 29  1993 spheres.c
-rw------- 1  238  103 15614 Jul 29  1993 targa.c
-rw------- 1  238  103 20502 Jan  5  1994 texture.c
-rw------- 1  238  103  2377 Jul  8  1993 texture.h
-rw------- 1  238  103 25038 Jan 28  1994 tokenize.c
-rw------- 1  238  103 19581 Oct 25  1993 triangle.c
-rw------- 1  238  103  4211 Jul 29  1993 txttest.c
-rw------- 1 root root  3369 Apr  2 04:22 unix.mak
-rw------- 1  238  103 24522 Oct  3  1993 vect.c
-rw------- 1  238  103  3609 Jul  8  1993 vector.h
root@2d4a7de90ddc:/app/povray-2.2# ls -la ../povray-2.2/
total 788
drwxr-xr-x 2 root root  4096 Apr  2 04:22 .
drwxr-xr-x 1 root root  4096 Apr  2 04:19 ..
-rw------- 1  238  103 30675 Nov  9  1993 bezier.c
-rw------- 1  238  103 18023 Aug 11  1993 blob.c
-rw------- 1  238  103 19186 Nov  3  1993 bound.c
-rw------- 1  238  103 10104 Oct 14  1993 boxes.c
-rw------- 1  238  103  2704 Jul 28  1993 camera.c
-rw------- 1  238  103  4414 Jul 28  1993 colour.c
-rw------- 1  238  103 10727 Jul 28  1993 cones.c
-rw------- 1 root root  6125 Apr  2 04:22 config.h
-rw------- 1  238  103  9803 Oct 28  1993 csg.c
-rw------- 1  238  103  5605 Jul 28  1993 discs.c
-rw------- 1  238  103  8822 Jul 28  1993 dump.c
-rw------- 1  238  103 12570 Jul  8  1993 express.c
-rw------- 1  238  103 26850 Feb  3  1994 frame.h
-rw------- 1  238  103  6567 Jul 28  1993 gif.c
-rw------- 1  238  103 15210 Aug  6  1993 gifdecod.c
-rw------- 1  238  103 46298 Jan 29  1994 hfield.c
-rw------- 1  238  103 10040 Sep 12  1993 iff.c
-rw------- 1  238  103 20938 Jul 28  1993 image.c
-rw------- 1  238  103 37389 Jan  5  1994 lighting.c
-rw------- 1  238  103 13246 Jul 28  1993 matrices.c
-rw------- 1  238  103  7625 Jul 28  1993 normal.c
-rw------- 1  238  103  7928 Oct 28  1993 objects.c
-rw------- 1  238  103 85433 Nov  9  1993 parse.c
-rw------- 1  238  103  9556 Sep 20  1993 parse.h
-rw------- 1  238  103 19594 Sep 20  1993 pigment.c
-rw------- 1  238  103  5466 Jul 29  1993 planes.c
-rw------- 1  238  103  7793 Jul 29  1993 point.c
-rw------- 1  238  103 18787 Jul 29  1993 poly.c
-rw------- 1  238  103 29790 Oct 12  1993 povproto.h
-rw------- 1  238  103 31555 Feb  3  1994 povray.c
-rw------- 1  238  103  9944 Jul 29  1993 quadrics.c
-rw------- 1  238  103  9865 Jul 29  1993 raw.c
-rw------- 1  238  103  3111 Jul 29  1993 ray.c
-rw------- 1  238  103 15160 Jan  5  1994 render.c
-rw------- 1  238  103  2495 Feb  1  1993 source.cat
-rw------- 1  238  103 11207 Jul 29  1993 spheres.c
-rw------- 1  238  103 15614 Jul 29  1993 targa.c
-rw------- 1  238  103 20502 Jan  5  1994 texture.c
-rw------- 1  238  103  2377 Jul  8  1993 texture.h
-rw------- 1  238  103 25038 Jan 28  1994 tokenize.c
-rw------- 1  238  103 19581 Oct 25  1993 triangle.c
-rw------- 1  238  103  4211 Jul 29  1993 txttest.c
-rw------- 1 root root  3369 Apr  2 04:22 unix.mak
-rw------- 1  238  103 24522 Oct  3  1993 vect.c
-rw------- 1  238  103  3609 Jul  8  1993 vector.h
root@2d4a7de90ddc:/app/povray-2.2#
