# Easy Tasks Full Benchmark - Wed Apr  1 09:50:56 PM MDT 2026
# Models: 2
# Tasks: 13
# Estimated runtime: 5-8 hours

Model|Task|Result|Time
Qwen3-Coder-Next-GGUF|cobol-modernization|NO_REWARD|446s
Qwen3-Coder-Next-GGUF|fix-git|PASS|112s
Qwen3-Coder-Next-GGUF|prove-plus-comm|PASS|178s
Qwen3-Coder-Next-GGUF|build-pmars|PASS|337s
Qwen3-Coder-Next-GGUF|build-pov-ray|TIMEOUT_OR_ERROR|600s
Qwen3-Coder-Next-GGUF|code-from-image|PASS|179s
Qwen3-Coder-Next-GGUF|git-leak-recovery|PASS|102s
Qwen3-Coder-Next-GGUF|headless-terminal|PASS|255s
Qwen3-Coder-Next-GGUF|kv-store-grpc|PASS|145s
Qwen3-Coder-Next-GGUF|polyglot-c-py|NO_REWARD|431s
Qwen3-Coder-Next-GGUF|pypi-server|PASS|341s
Qwen3-Coder-Next-GGUF|schemelike-metacircular-eval|NO_REWARD|502s
Qwen3-Coder-Next-GGUF|winning-avg-corewars|TIMEOUT_OR_ERROR|600s
gpt-oss-120b-GGUF|cobol-modernization|PASS|175s
gpt-oss-120b-GGUF|fix-git|PASS|81s
gpt-oss-120b-GGUF|prove-plus-comm|PASS|91s
gpt-oss-120b-GGUF|build-pmars|TIMEOUT_OR_ERROR|600s
gpt-oss-120b-GGUF|build-pov-ray|FAIL|466s
gpt-oss-120b-GGUF|code-from-image|TIMEOUT_OR_ERROR|600s
gpt-oss-120b-GGUF|git-leak-recovery|FAIL|126s
gpt-oss-120b-GGUF|headless-terminal|PASS|116s
gpt-oss-120b-GGUF|kv-store-grpc|FAIL|76s
gpt-oss-120b-GGUF|polyglot-c-py|FAIL|111s
gpt-oss-120b-GGUF|pypi-server|FAIL|119s
gpt-oss-120b-GGUF|schemelike-metacircular-eval|TIMEOUT_OR_ERROR|600s
gpt-oss-120b-GGUF|winning-avg-corewars|PASS|397s
