# Easy Tasks Full Benchmark - Thu Apr  9 05:16:18 PM MDT 2026
# Models: 2
# Tasks: 24
# Estimated runtime: 5-8 hours

Model|Task|Result|Time
Qwen3-Coder-Next-GGUF|amuse-install|PASS|427s
Qwen3-Coder-Next-GGUF|broken-python|PASS|95s
Qwen3-Coder-Next-GGUF|build-merkle-tree-cli-sha512|PASS|232s
Qwen3-Coder-Next-GGUF|california-housing-api|PASS|455s
Qwen3-Coder-Next-GGUF|convolutional-layers|NO_REWARD|435s
Qwen3-Coder-Next-GGUF|cosign-keyless-signing|FAIL|414s
Qwen3-Coder-Next-GGUF|cryptographic-protocol-verifier|PASS|264s
Qwen3-Coder-Next-GGUF|ekf-localization|PASS|181s
Qwen3-Coder-Next-GGUF|hydra-debug-slurm-mode|NO_REWARD|594s
Qwen3-Coder-Next-GGUF|image-tile-identification|TIMEOUT_OR_ERROR|600s
Qwen3-Coder-Next-GGUF|jq-data-processing|PASS|162s
Qwen3-Coder-Next-GGUF|jsonl-aggregator|PASS|75s
Qwen3-Coder-Next-GGUF|legal-summary-extraction|NO_REWARD|179s
Qwen3-Coder-Next-GGUF|log-summary|PASS|60s
Qwen3-Coder-Next-GGUF|mlflow-register|PASS|151s
Qwen3-Coder-Next-GGUF|pandas-etl|FAIL|134s
Qwen3-Coder-Next-GGUF|playing-card-recognition|FAIL|489s
Qwen3-Coder-Next-GGUF|protein-sequence|NO_REWARD|29s
Qwen3-Coder-Next-GGUF|raft-log-repair-concurrent-access|PASS|301s
Qwen3-Coder-Next-GGUF|schedule-vacation|FAIL|135s
Qwen3-Coder-Next-GGUF|smiles-data-lab|NO_REWARD|19s
Qwen3-Coder-Next-GGUF|supply-chain-fulfillment|PASS|420s
Qwen3-Coder-Next-GGUF|systemd-log-monitoring|PASS|275s
Qwen3-Coder-Next-GGUF|vimscript-vim-quine|NO_REWARD|475s
gpt-oss-120b-GGUF|amuse-install|FAIL|186s
gpt-oss-120b-GGUF|broken-python|FAIL|211s
gpt-oss-120b-GGUF|build-merkle-tree-cli-sha512|FAIL|177s
gpt-oss-120b-GGUF|california-housing-api|PASS|239s
gpt-oss-120b-GGUF|convolutional-layers|PASS|461s
gpt-oss-120b-GGUF|cosign-keyless-signing|PASS|243s
gpt-oss-120b-GGUF|cryptographic-protocol-verifier|PASS|104s
gpt-oss-120b-GGUF|ekf-localization|FAIL|153s
gpt-oss-120b-GGUF|hydra-debug-slurm-mode|TIMEOUT_OR_ERROR|600s
gpt-oss-120b-GGUF|image-tile-identification|FAIL|140s
gpt-oss-120b-GGUF|jq-data-processing|PASS|86s
gpt-oss-120b-GGUF|jsonl-aggregator|PASS|86s
gpt-oss-120b-GGUF|legal-summary-extraction|NO_REWARD|521s
gpt-oss-120b-GGUF|log-summary|PASS|61s
gpt-oss-120b-GGUF|mlflow-register|PASS|89s
gpt-oss-120b-GGUF|pandas-etl|PASS|92s
gpt-oss-120b-GGUF|playing-card-recognition|FAIL|83s
gpt-oss-120b-GGUF|protein-sequence|NO_REWARD|19s
gpt-oss-120b-GGUF|raft-log-repair-concurrent-access|FAIL|322s
gpt-oss-120b-GGUF|schedule-vacation|PASS|144s
gpt-oss-120b-GGUF|smiles-data-lab|NO_REWARD|18s
gpt-oss-120b-GGUF|supply-chain-fulfillment|PASS|356s
gpt-oss-120b-GGUF|systemd-log-monitoring|TIMEOUT_OR_ERROR|600s
gpt-oss-120b-GGUF|vimscript-vim-quine|FAIL|98s
